priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.tempSuspendedSeries,meta.isETFSec,meta.isDelisted,meta.isin,meta.slb_isin,meta.listingDate,meta.isMunicipalBond,meta.isHybridSymbol,meta.quotepreopenstatus.equityTime,meta.quotepreopenstatus.preOpenTime,meta.quotepreopenstatus.QuotePreOpenFlag
0,SYNGENE,SYNGENEEQN,634.0,636.0,627.3,631.5,634.05,-2.55,-0.4,119083263204.21,960.6,607.65,461793,0,290763344.52,,34.259837601499065,-3.9249568007899325,-8,30-Apr-2024,https://nsearchives.nseindia.com/365d/SYNGENE-EQ.svg,01-Apr-2025,-11.71,https://nsearchives.nseindia.com/30d/SYNGENE-EQ.svg,https://nsearchives.nseindia.com/today/SYNGENEEQN.svg,EQ,SYNGENE,Syngene International Limited,Healthcare Research Analytics & Technology,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE398R01022,INE398R01022,2015-08-11,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,JYOTHYLAB,JYOTHYLABEQN,375.85,378.55,368.25,372.5,374.0,-1.5,-0.4,50574680953.94,595.85,300.1,92092,0,34296902.64,,37.48426617437275,-24.125291569476833,-13.89,30-Apr-2024,https://nsearchives.nseindia.com/365d/JYOTHYLAB-EQ.svg,01-Apr-2025,13.7,https://nsearchives.nseindia.com/30d/JYOTHYLAB-EQ.svg,https://nsearchives.nseindia.com/today/JYOTHYLABEQN.svg,EQ,JYOTHYLAB,Jyothy Labs Limited,Household Products,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE668F01031,INE668F01031,2007-12-19,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,GREENPLY,GREENPLYEQN,289.1,293.5,285.75,289.25,290.4,-1.15,-0.4,17138244800.21,411.95,230.0,61885,0,17982543.3,,29.78516810292511,-25.76086956521739,13.19,30-Apr-2024,https://nsearchives.nseindia.com/365d/GREENPLY-EQ.svg,01-Apr-2025,1.49,https://nsearchives.nseindia.com/30d/GREENPLY-EQ.svg,https://nsearchives.nseindia.com/today/GREENPLYEQN.svg,EQ,GREENPLY,Greenply Industries Limited,Plywood Boards/ Laminates,['EQ'],[],False,False,True,False,False,['W1'],False,False,INE461C01038,INE461C01038,1996-03-06,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,MOTILALOFS,MOTILALOFSEQN,650.0,657.65,639.25,650.05,652.75,-2.7,-0.41,96200401891.3,1064.0,474.8,699270,0,454301733.6,,38.905075187969935,-36.910278011794425,-72.54,30-Apr-2024,https://nsearchives.nseindia.com/365d/MOTILALOFS-EQ.svg,01-Apr-2025,8.37,https://nsearchives.nseindia.com/30d/MOTILALOFS-EQ.svg,https://nsearchives.nseindia.com/today/MOTILALOFSEQN.svg,EQ,MOTILALOFS,Motilal Oswal Financial Services Limited,Stockbroking & Allied,['EQ'],[],False,False,True,True,False,['BE'],False,False,INE338I01027,INE338I01027,2007-09-11,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,ASHOKLEY,ASHOKLEYEQN,224.05,225.6,218.7,224.39,225.31,-0.92,-0.41,320075939697.56,264.65,185.65,1550407,0,346097354.61,,15.212544870583788,-20.86722326959331,16.95,30-Apr-2024,https://nsearchives.nseindia.com/365d/ASHOKLEY-EQ.svg,01-Apr-2025,7.77,https://nsearchives.nseindia.com/30d/ASHOKLEY-EQ.svg,https://nsearchives.nseindia.com/today/ASHOKLEYEQN.svg,EQ,ASHOKLEY,Ashok Leyland Limited,Commercial Vehicles,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE208A01029,INE208A01029,1995-05-25,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,ACI,ACIEQN,625.9,628.95,610.55,624.7,627.3,-2.6,-0.41,35816247441.14,832.0,408.35,69467,0,42988958.28,,24.91586538461538,-52.981510958736386,-3.83,30-Apr-2024,https://nsearchives.nseindia.com/365d/ACI-EQ.svg,01-Apr-2025,19.75,https://nsearchives.nseindia.com/30d/ACI-EQ.svg,https://nsearchives.nseindia.com/today/ACIEQN.svg,EQ,ACI,Archean Chemical Industries Limited,Specialty Chemicals,['EQ'],[],False,False,True,False,False,[],False,False,INE128X01021,INE128X01021,2022-11-21,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,ACC,ACCEQN,1899.0,1900.2,1875.1,1880.1,1888.0,-7.9,-0.42,126366111449.22,2844.0,1778.45,372384,0,701288444.16,,33.89240506329114,-5.7156512693637636,-25.43,30-Apr-2024,https://nsearchives.nseindia.com/365d/ACC-EQ.svg,01-Apr-2025,-3.29,https://nsearchives.nseindia.com/30d/ACC-EQ.svg,https://nsearchives.nseindia.com/today/ACCEQN.svg,EQ,ACC,ACC Limited,Cement & Cement Products,['EQ'],[],True,False,True,False,False,['IL'],False,False,INE012A01025,INE012A01025,1996-11-20,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,EASEMYTRIP,EASEMYTRIPEQN,11.8,11.99,11.79,11.98,12.03,-0.05,-0.42,21065880151.44,23.58,10.8,6456450,0,76831755.0,,49.19423240033927,-10.925925925925922,-74.16,30-Apr-2024,https://nsearchives.nseindia.com/365d/EASEMYTRIP-EQ.svg,01-Apr-2025,-1.55,https://nsearchives.nseindia.com/30d/EASEMYTRIP-EQ.svg,https://nsearchives.nseindia.com/today/EASEMYTRIPEQN.svg,EQ,EASEMYTRIP,Easy Trip Planners Limited,Tour Travel Related Services,['EQ'],[],False,False,True,False,False,[],False,False,INE07O001026,INE07O001026,2021-03-19,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,SOBHA,SOBHAEQN,1324.9,1332.1,1298.0,1316.6,1322.1,-5.5,-0.42,58450246763.26,2155.35,1075.3,49748,0,65200723.76,,38.91479342102211,-22.440249232772246,-25.59,30-Apr-2024,https://nsearchives.nseindia.com/365d/SOBHA-EQ.svg,01-Apr-2025,10.09,https://nsearchives.nseindia.com/30d/SOBHA-EQ.svg,https://nsearchives.nseindia.com/today/SOBHAEQN.svg,EQ,SOBHA,Sobha Limited,Residential Commercial Projects,['EQ'],[],False,False,True,False,False,[],False,False,INE671H01015,INE671H01015,2006-12-20,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,GABRIEL,GABRIELEQN,540.35,546.25,530.75,539.25,541.5,-2.25,-0.42,34128486340.61,607.8,335.0,57029,0,30657079.53,,11.278381046396834,-60.97014925373134,37.89,30-Apr-2024,https://nsearchives.nseindia.com/365d/GABRIEL-EQ.svg,01-Apr-2025,-8.58,https://nsearchives.nseindia.com/30d/GABRIEL-EQ.svg,https://nsearchives.nseindia.com/today/GABRIELEQN.svg,EQ,GABRIEL,Gabriel India Limited,Auto Components & Equipments,['EQ'],[],False,False,True,False,False,['BE'],False,False,INE524A01029,INE524A01029,2005-04-20,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,SANOFI,SANOFIEQN,5942.0,5983.0,5864.5,5917.5,5943.0,-25.5,-0.43,53688829570.9,10524.95,4902.0,4742,0,28034704.0,,43.77645499503561,-20.716034271725825,-28.62,30-Apr-2024,https://nsearchives.nseindia.com/365d/SANOFI-EQ.svg,01-Apr-2025,1.68,https://nsearchives.nseindia.com/30d/SANOFI-EQ.svg,https://nsearchives.nseindia.com/today/SANOFIEQN.svg,EQ,SANOFI,Sanofi India Limited,Pharmaceuticals,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE058A01010,INE058A01010,2003-05-19,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,HCG,HCGEQN,565.25,567.7,547.8,559.95,562.45,-2.5,-0.44,22375484976.54,601.95,330.65,81168,0,45283627.2,,6.97732369798156,-69.34825344019359,53.65,30-Apr-2024,https://nsearchives.nseindia.com/365d/HCG-EQ.svg,01-Apr-2025,6.26,https://nsearchives.nseindia.com/30d/HCG-EQ.svg,https://nsearchives.nseindia.com/today/HCGEQN.svg,EQ,HCG,Healthcare Global Enterprises Limited,Hospital,['EQ'],[],False,False,True,False,False,[],False,False,INE075I01017,INE075I01017,2016-03-30,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,JMFINANCIL,JMFINANCILEQN,101.54,102.28,98.52,101.08,101.54,-0.46,-0.45,40578981054.7,168.75,69.0,982882,0,98779641.0,,40.10074074074074,-46.492753623188406,14.22,30-Apr-2024,https://nsearchives.nseindia.com/365d/JMFINANCIL-EQ.svg,01-Apr-2025,5.38,https://nsearchives.nseindia.com/30d/JMFINANCIL-EQ.svg,https://nsearchives.nseindia.com/today/JMFINANCILEQN.svg,EQ,JMFINANCIL,JM Financial Limited,Holding Company,['EQ'],[],False,False,True,False,False,[],False,False,INE780C01023,INE780C01023,2006-10-10,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,ABBOTINDIA,ABBOTINDIAEQN,29990.0,30155.0,29800.0,29845.0,29985.0,-140.0,-0.47,155209270876.98,31898.95,25325.0,770,0,23073342.6,,6.438926673135011,-17.847976307996053,13.38,30-Apr-2024,https://nsearchives.nseindia.com/365d/ABBOTINDIA-EQ.svg,01-Apr-2025,-1.1,https://nsearchives.nseindia.com/30d/ABBOTINDIA-EQ.svg,https://nsearchives.nseindia.com/today/ABBOTINDIAEQN.svg,EQ,ABBOTINDIA,Abbott India Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,['IL'],False,False,INE358A01014,INE358A01014,2010-01-08,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,RAMCOCEM,RAMCOCEMEQN,950.8,950.8,937.0,939.05,943.6,-4.55,-0.48,117844194775.18,1060.0,700.0,57675,0,54361571.25,,11.41037735849057,-34.14999999999999,18.75,30-Apr-2024,https://nsearchives.nseindia.com/365d/RAMCOCEM-EQ.svg,01-Apr-2025,4.71,https://nsearchives.nseindia.com/30d/RAMCOCEM-EQ.svg,https://nsearchives.nseindia.com/today/RAMCOCEMEQN.svg,EQ,RAMCOCEM,The Ramco Cements Limited,Cement & Cement Products,['EQ'],[],True,False,True,False,False,[],False,False,INE331A01037,INE331A01037,1997-04-09,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,RENUKA,RENUKAEQN,28.79,28.91,28.22,28.65,28.79,-0.14,-0.49,22765818435.07,56.5,24.71,1648829,0,47090556.24,,49.29203539823009,-15.9449615540267,-35.66,30-Apr-2024,https://nsearchives.nseindia.com/365d/RENUKA-EQ.svg,01-Apr-2025,0.45,https://nsearchives.nseindia.com/30d/RENUKA-EQ.svg,https://nsearchives.nseindia.com/today/RENUKAEQN.svg,EQ,RENUKA,Shree Renuka Sugars Limited,Sugar,['EQ'],[],False,False,True,False,False,['BE'],False,False,INE087H01022,INE087H01022,2005-10-31,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,ABSLAMC,ABSLAMCEQN,654.05,664.7,636.9,658.2,661.5,-3.3,-0.5,47554586786.08,911.85,512.95,280720,0,182206930.4,,27.81707517683829,-28.31660005848523,21.87,30-Apr-2024,https://nsearchives.nseindia.com/365d/ABSLAMC-EQ.svg,01-Apr-2025,3.13,https://nsearchives.nseindia.com/30d/ABSLAMC-EQ.svg,https://nsearchives.nseindia.com/today/ABSLAMCEQN.svg,EQ,ABSLAMC,Aditya Birla Sun Life AMC Limited,Asset Management Company,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE404A01024,INE404A01024,2021-10-11,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,ABREL,ABRELEQN,1909.9,1921.3,1891.0,1907.9,1917.7,-9.8,-0.51,99519655736.22,3140.0,1638.0,35681,0,67962314.32,,39.23885350318471,-16.477411477411483,-,-,-,01-Apr-2025,-2.66,https://nsearchives.nseindia.com/30d/ABREL-EQ.svg,https://nsearchives.nseindia.com/today/ABRELEQN.svg,EQ,ABREL,Aditya Birla Real Estate Limited,Paper & Paper Products,['EQ'],[],False,False,True,False,False,[],False,False,INE055A01016,INE055A01016,2003-06-27,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,PARKHOTELS,PARKHOTELSEQN,152.0,152.5,148.82,150.48,151.25,-0.77,-0.51,8932150909.1,206.2,129.0,131231,0,19726643.92,,27.02230843840931,-16.65116279069767,-22.91,30-Apr-2024,https://nsearchives.nseindia.com/365d/PARKHOTELS-EQ.svg,01-Apr-2025,1.14,https://nsearchives.nseindia.com/30d/PARKHOTELS-EQ.svg,https://nsearchives.nseindia.com/today/PARKHOTELSEQN.svg,EQ,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,Hotels & Resorts,['EQ'],[],False,False,False,False,False,[],False,False,INE988S01028,,2024-02-12,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,ANUP,ANUPEQN,2990.0,3019.7,2941.7,2973.6,2989.4,-15.8,-0.53,35112283319.85,3859.4,1550.0,12805,0,37957349.3,,22.951754158677517,-91.84516129032258,67.74,30-Apr-2024,https://nsearchives.nseindia.com/365d/ANUP-EQ.svg,01-Apr-2025,-11.9,https://nsearchives.nseindia.com/30d/ANUP-EQ.svg,https://nsearchives.nseindia.com/today/ANUPEQN.svg,EQ,ANUP,The Anup Engineering Limited,Industrial Products,['EQ'],[],False,False,True,False,False,[],False,False,INE294Z01018,INE294Z01018,2019-03-01,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,NESCO,NESCOEQN,944.95,948.75,935.1,937.8,942.75,-4.95,-0.53,19634620388.11,1081.9,780.0,8045,0,7559162.45,,13.319160735742686,-20.230769230769226,8.72,30-Apr-2024,https://nsearchives.nseindia.com/365d/NESCO-EQ.svg,01-Apr-2025,0.68,https://nsearchives.nseindia.com/30d/NESCO-EQ.svg,https://nsearchives.nseindia.com/today/NESCOEQN.svg,EQ,NESCO,Nesco Limited,Diversified Commercial Services,['EQ'],[],False,False,True,False,False,[],False,False,INE317F01035,INE317F01035,2008-04-08,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,BDL,BDLEQN,1518.8,1529.6,1495.8,1521.1,1529.6,-8.5,-0.56,139804374678.28,1794.7,890.0,570711,0,864370345.05,,15.244887724967969,-70.91011235955055,-22.65,30-Apr-2024,https://nsearchives.nseindia.com/365d/BDL-EQ.svg,01-Apr-2025,22.84,https://nsearchives.nseindia.com/30d/BDL-EQ.svg,https://nsearchives.nseindia.com/today/BDLEQN.svg,EQ,BDL,Bharat Dynamics Limited,Aerospace & Defense,['EQ'],[],False,False,True,False,False,[],False,False,INE171Z01026,INE171Z01026,2018-03-23,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,DABUR,DABUREQN,485.3,487.75,483.7,485.0,487.75,-2.75,-0.56,285240293466.33,672.0,433.3,253600,0,123026432.0,,27.827380952380953,-11.931687052850217,-3.94,30-Apr-2024,https://nsearchives.nseindia.com/365d/DABUR-EQ.svg,01-Apr-2025,-1.96,https://nsearchives.nseindia.com/30d/DABUR-EQ.svg,https://nsearchives.nseindia.com/today/DABUREQN.svg,EQ,DABUR,Dabur India Limited,Personal Care,['EQ'],[],True,False,True,False,False,[],False,False,INE016A01026,INE016A01026,1999-04-28,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,BAJAJFINSV,BAJAJFINSVEQN,1955.0,1959.9,1922.2,1940.4,1951.6,-11.2,-0.57,1052808501373.05,2135.0,1419.05,605675,0,1175421359.0,,9.114754098360653,-36.73936788696665,20.84,30-Apr-2024,https://nsearchives.nseindia.com/365d/BAJAJFINSV-EQ.svg,01-Apr-2025,0.75,https://nsearchives.nseindia.com/30d/BAJAJFINSV-EQ.svg,https://nsearchives.nseindia.com/today/BAJAJFINSVEQN.svg,EQ,BAJAJFINSV,Bajaj Finserv Limited,Holding Company,['EQ'],[],True,False,True,False,False,[],False,False,INE918I01026,INE918I01026,2008-05-26,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
